order_id,source_order_id,parent_order_id,lot_id,grade,steel_group,width,thickness,tons,backlog,due_date,roll_type,line_capability,priority,due_bucket,due_rank,line,line_source,proc_hours_big,proc_hours_small,proc_hours,is_virtual,force_break_before,campaign_id,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,group_switch,non_pc_direct_switch,temp_conflict,line_order_local,global_seq,line_seq,campaign_seq,campaign_real_seq,line_name,width_jump_violation_real,thickness_violation_real,non_pc_direct_switch_real
0030082156-000420#M0640-L01,0030082156-000420,0030082156-000420,0030082156-000420-L01,HC340/590DP,DP,1300.0,2.0,22.5,75.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,94,1300.0,2.0,DP,0.0,False,False,False,False,False,False,94,94,94,94,94,大辊线,False,False,False
0030085175-000110#M0169-L01,0030085175-000110,0030085175-000110,0030085175-000110-L01,HC340/590DP,DP,1290.0,1.6,22.5,50.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,95,1300.0,2.0,DP,10.0,False,False,False,False,False,False,95,95,95,95,95,大辊线,False,False,False
VIRTUAL-00046,,,,VIRTUAL_PC,PC,1283.5,1.3,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,96,1290.0,1.6,DP,6.5,False,False,False,True,False,False,96,96,96,96,96,大辊线,False,False,False
0030084061-000030#M0394-L01,0030084061-000030,0030084061-000030,0030084061-000030-L01,HC180Y,BH,1277.0,1.0,22.5,50.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,97,1283.5,1.3,PC,6.5,False,False,False,True,False,False,97,97,97,97,97,大辊线,False,False,False
VIRTUAL-00047,,,,VIRTUAL_PC,PC,1276.0,1.2,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,98,1277.0,1.0,BH,1.0,False,False,False,True,False,False,98,98,98,98,98,大辊线,False,False,False
0030082156-000250#M0693-L01,0030082156-000250,0030082156-000250,0030082156-000250-L01,HC340/590DP,DP,1275.0,1.4,22.5,50.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,99,1276.0,1.2,PC,1.0,False,False,False,True,False,False,99,99,99,99,99,大辊线,False,False,False
0030082156-000160#M0645-L01,0030082156-000160,0030082156-000160,0030082156-000160-L01,HC340/590DP,DP,1265.0,1.2,22.5,50.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,100,1275.0,1.4,DP,10.0,False,False,False,False,False,False,100,100,100,100,100,大辊线,False,False,False
0030084750-000010#M0228-L01,0030084750-000010,0030084750-000010,0030084750-000010-L01,HC340/590DP,DP,1260.0,1.4,22.5,50.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,101,1265.0,1.2,DP,5.0,False,False,False,False,False,False,101,101,101,101,101,大辊线,False,False,False
VIRTUAL-00048,,,,VIRTUAL_PC,PC,1260.0,1.7,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,102,1260.0,1.4,DP,0.0,False,False,False,True,False,False,102,102,102,102,102,大辊线,False,False,False
0030082156-000410#M0672-L01,0030082156-000410,0030082156-000410,0030082156-000410-L01,HC340/590DP,DP,1260.0,2.0,22.5,75.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,103,1260.0,1.7,PC,0.0,False,False,False,True,False,False,103,103,103,103,103,大辊线,False,False,False
